id,workload_id,component_param_id,version,value,created,modified
216,24,33,config1,1.23.5,2023-09-21 12:45:53,2023-09-21 12:45:53
215,24,32,config1,host,2023-09-21 12:45:53,2023-09-21 12:45:53
214,24,34,config1,calico,2023-09-21 12:45:53,2023-09-21 12:45:53
213,24,35,config1,docker,2023-09-21 12:45:53,2023-09-21 12:45:53
212,24,24,config1,https://github.com/intel/workload-services-framework,2023-09-21 12:45:53,2023-09-21 12:45:53
211,24,44,config1,main,2023-09-21 12:45:53,2023-09-21 12:45:53
210,24,36,config1,127.0.0.1:5000,2023-09-21 12:45:53,2023-09-21 12:45:53
209,24,20,config1,sender@xxx.com,2023-09-21 12:45:53,2023-09-21 12:45:53
208,24,21,config1,receiver@xxx.com,2023-09-21 12:45:53,2023-09-21 12:45:53
207,23,33,config1,1.23.5,2023-09-21 12:45:53,2023-09-21 12:45:53
206,23,32,config1,host,2023-09-21 12:45:53,2023-09-21 12:45:53
205,23,34,config1,calico,2023-09-21 12:45:53,2023-09-21 12:45:53
204,23,35,config1,docker,2023-09-21 12:45:53,2023-09-21 12:45:53
203,23,24,config1,https://github.com/intel/workload-services-framework,2023-09-21 12:45:53,2023-09-21 12:45:53
202,23,44,config1,main,2023-09-21 12:45:53,2023-09-21 12:45:53
201,23,36,config1,127.0.0.1:5000,2023-09-21 12:45:53,2023-09-21 12:45:53
200,23,20,config1,sender@xxx.com,2023-09-21 12:45:53,2023-09-21 12:45:53
199,23,21,config1,receiver@xxx.com,2023-09-21 12:45:53,2023-09-21 12:45:53
198,22,33,config1,1.23.5,2023-09-21 12:45:53,2023-09-21 12:45:53
197,22,32,config1,host,2023-09-21 12:45:53,2023-09-21 12:45:53
196,22,34,config1,calico,2023-09-21 12:45:53,2023-09-21 12:45:53
195,22,35,config1,docker,2023-09-21 12:45:53,2023-09-21 12:45:53
194,22,24,config1,https://github.com/intel/workload-services-framework,2023-09-21 12:45:53,2023-09-21 12:45:53
193,22,44,config1,main,2023-09-21 12:45:53,2023-09-21 12:45:53
192,22,36,config1,127.0.0.1:5000,2023-09-21 12:45:53,2023-09-21 12:45:53
191,22,20,config1,sender@xxx.com,2023-09-21 12:45:53,2023-09-21 12:45:53
190,22,21,config1,receiver@xxx.com,2023-09-21 12:45:53,2023-09-21 12:45:53
189,21,33,config1,1.23.5,2023-09-21 12:45:53,2023-09-21 12:45:53
188,21,32,config1,host,2023-09-21 12:45:53,2023-09-21 12:45:53
187,21,34,config1,calico,2023-09-21 12:45:53,2023-09-21 12:45:53
186,21,35,config1,docker,2023-09-21 12:45:53,2023-09-21 12:45:53
185,21,24,config1,https://github.com/intel/workload-services-framework,2023-09-21 12:45:53,2023-09-21 12:45:53
184,21,44,config1,main,2023-09-21 12:45:53,2023-09-21 12:45:53
183,21,36,config1,127.0.0.1:5000,2023-09-21 12:45:53,2023-09-21 12:45:53
182,21,20,config1,sender@xxx.com,2023-09-21 12:45:53,2023-09-21 12:45:53
181,21,21,config1,receiver@xxx.com,2023-09-21 12:45:53,2023-09-21 12:45:53
180,20,33,config1,1.23.5,2023-09-21 12:45:53,2023-09-21 12:45:53
